,Unnamed: 0,타입,검색어,영상,제목,업로더,조회수,업로드,구독자,유저,내용,좋아요,시각,commentMonth,commentYear,views,likes
17984,3,4,metaverse violence,/watch?v=kVOTPAxrrP4,MIT Has Predicted that Society Will Collapse in 2040 | Economics Explained,/c/EconomicsExplained,10M views,10 months ago,0,"
              bitbucketcynic
            ",Never let anyone make a decision if they won't personally suffer for being wrong.,"
    3K
  ",3 months ago,3,0,10000000,3000
22933,4,4,metaverse violence,/watch?v=BgCK98KudK0,The Metaverse is a Soulless platform,/c/MentalOutlaw,562K views,1 month ago,0,"
              Torgny Bjers
            ","My friend ran a very lucrative Second Life business: fully articulated male organs. She made real money off of this. This was back in 2007 or so, I think. Just looking over her shoulder I toured some insane locations within Second Life ranging from luxury villas with sex dungeons hidden in their wine cellars to some seedy, and shady, locations where some deals were made. All she really did was code, and design, the male organ in six different stages of engorgement, and people just threw money at her. It filled a niche that Zuck will never even understand.","
    2.9K
  ",1 month ago,1,0,562000,2900
18090,109,4,metaverse violence,/watch?v=kVOTPAxrrP4,MIT Has Predicted that Society Will Collapse in 2040 | Economics Explained,/c/EconomicsExplained,10M views,10 months ago,0,"
              TheSoundOfBand Instrumental
            ","""Here you go, have an ad.""

""What a good little consumer you are.""
I died a little.","
    2.9K
  ",9 months ago,9,0,10000000,2900
7455,46,4,metaverse violence,/watch?v=Ibm3WhfLk08,Metaverse VR: Demo Experience,/c/surrealentertainment,4.1M views,10 months ago,0,"
               ShortHax
            ",I’m pleasantly surprised I didn’t get jumpscared by a wall full of ads,"
    2.9K
  ",10 months ago,1,0,4099999,2900
4419,118,4,metaverse violence,/watch?v=rtLTZUaMSDQ,Trapped in the Metaverse: Here’s What 24 Hours in VR Feels Like | WSJ,/c/wsj,4.6M views,10 months ago,0,"
              Ccaprice85
            ","It is comforting seeing so many people against this, but i cant help but feel this is inevitably gonna be the future, mainly the younger generations are gonna fall for this.","
    2.8K
  ",8 months ago,8,0,4600000,2800
27196,77,4,metaverse violence,/watch?v=gElfIo6uw4g,Everything Facebook revealed about the Metaverse in 11 minutes,/c/CNET,5.8M views,11 months ago,0,"
              Boe Boe Fish
            ","I’ve had a technology addiction for years, and seeing this seriously just terrifies me","
    2.8K
  ",10 months ago (edited),1,0,5800000,2800
1650,0,4,metaverse violence,/watch?v=_coWu3jYHUk,Gravitas: Woman gang-raped in Facebook's metaverse,/c/WION,1.1M views,8 months ago,0,"
              Trentsum
            ","As someone who's been murdered and t bagged many times, this hit close to home. Virtual rape is no laughing matter.","
    2.8K
  ",8 months ago,8,0,1100000,2800
27202,83,4,metaverse violence,/watch?v=gElfIo6uw4g,Everything Facebook revealed about the Metaverse in 11 minutes,/c/CNET,5.8M views,11 months ago,0,"
              Afrozzz
            ",Imagine when this really takes off. You decide to go to the park to enjoy the beautiful weather and play with your dog but you quickly realise that you’re all alone because everyone decided to be in the Metaverse. This is really terrifying to me.,"
    2.8K
  ",9 months ago,9,0,5800000,2800
4401,100,4,metaverse violence,/watch?v=rtLTZUaMSDQ,Trapped in the Metaverse: Here’s What 24 Hours in VR Feels Like | WSJ,/c/wsj,4.6M views,10 months ago,0,"
              Mana Howe
            ",The fact that even gamers at heart are scared of this is saying something...,"
    2.8K
  ",9 months ago,9,0,4600000,2800
38033,0,4,metaverse violence,/watch?v=m_SJ1suI5oI,The Best Metaverse Investment RIGHT NOW,/c/AndreiJikh,1.6M views,10 months ago,0,"
              Andrei Jikh
            ",METAVERSE - the only way Millennials will afford land in the future ,"
    2.8K
  ",10 months ago,1,0,1600000,2800
